model,mae,rmse,mape_percent,r2,mean_error_bias,std_error,max_abs_error,median_abs_error,within_500_pct,within_1000_pct
RandomForest,668.039958984751,1101.9195253314563,49.63997222611306,0.8112698749490287,118.2488654602502,1095.5564093756493,4985.954026544784,334.81184491304055,59.44055944055944,79.02097902097903
Mean Baseline,1875.892949581887,2536.4672821379027,759.9701237324263,0.0,1.5264246743042153e-13,2536.4672821379027,12895.405297902098,1675.1757020979019,12.587412587412588,29.02097902097902
ARIMA,1739.2816733529212,2668.9831006000713,478.3841625999724,-0.10721795141744361,831.3905852537924,2536.1901517906986,13727.05374410133,1121.2899999999813,19.58041958041958,43.70629370629371
Naive (lag-1),2422.7476496503496,3449.9746196954197,571.9039792269709,-0.8500065702559148,-0.649573426573402,3449.9745585434284,14816.068,1609.6855,19.230769230769234,33.21678321678322
