mae,rmse,mape_percent,r2,order,aic,bic
1739.281673352921,2668.983100600071,1203076257141.2122,-0.10721795141744317,"(5, 0, 0)",20725.417905521972,20760.701660253482
1739.4638348896033,2669.2687066489057,1204313050549.6833,-0.10745492936152257,"(0, 0, 5)",20726.710981194363,20761.994735925873
1737.3053691132345,2672.2692251777144,1191579199377.2605,-0.10994610357787171,"(1, 0, 1)",20702.04553109678,20722.207676657647
1736.8106404793339,2672.620052457142,1189386083887.9688,-0.11023755993952333,"(2, 0, 1)",20703.076596569706,20728.279278520786
1736.8103243264263,2672.6283926182255,1189350552394.006,-0.11024448915082696,"(1, 0, 2)",20703.135639557822,20728.3383215089
1738.5819573208273,2674.685635610238,1196345107623.6357,-0.11195435780786656,"(2, 0, 2)",20704.09238846702,20734.335606808316
