model,mae,rmse,mape_percent,r2,train_seconds,notes
RandomForest,668.0399589847506,1101.9195253314556,45.47438015119448,0.8112698749490289,0.3265644999919459,ensemble tree
HistGradientBoosting_tuned,650.7080057480955,1163.1845941295194,30107527.997015085,0.789700251375569,0.19279360002838075,tuned with TimeSeriesSplit
GradientBoosting,669.5839253342206,1193.2454750250038,23867962.02064239,0.7786899874548634,0.2603841000236571,boosting
HistGradientBoosting,703.1729722672579,1255.5366646730217,22698761.310963992,0.754980714050006,1.5920074000023305,boosting
DecisionTree,968.4891793706294,1850.304058158036,62.33269361225372,0.46785783374955703,0.011619299999438226,tree
ElasticNet,1928.3860646053538,6187.174379805971,68591924776.78218,-4.950126285639391,0.005069500009994954,regularized linear
Ridge,65170.59826440523,561166.5341079682,12704377862.075256,-48945.87812870994,0.005743099958635867,regularized linear
LinearRegression,65770.9647696738,568568.1058057543,12668470820.65054,-50245.57437988526,0.013674899993930012,baseline
